postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
LL55,9797,before 1900,69.66,exclude_1967_1975
LL56,1241,before 1900,46.82,exclude_1967_1975
LL57,11718,before 1900,63.37,exclude_1967_1975
LL58,2403,before 1900,60.42,exclude_1967_1975
LL59,2724,1967-1975,46.95,exclude_1967_1975
LL60,1461,before 1900,43.12,exclude_1967_1975
LL61,3107,before 1900,49.92,exclude_1967_1975
LL62,884,before 1900,65.72,exclude_1967_1975
LL63,934,before 1900,70.34,exclude_1967_1975
LL64,818,1967-1975,40.10,exclude_1967_1975
LL65,14454,1950-1966,55.22,exclude_1967_1975
LL66,125,before 1900,71.20,exclude_1967_1975
LL67,942,before 1900,55.73,exclude_1967_1975
LL68,3565,before 1900,59.05,exclude_1967_1975
LL69,335,before 1900,44.18,exclude_1967_1975
LL70,182,before 1900,42.86,exclude_1967_1975
LL71,1084,before 1900,55.72,exclude_1967_1975
LL72,505,1950-1966,50.69,exclude_1967_1975
LL73,115,before 1900,66.96,exclude_1967_1975
LL74,1503,1967-1975,32.34,exclude_1967_1975
LL75,793,1967-1975,39.34,exclude_1967_1975
LL76,105,before 1900,64.76,exclude_1967_1975
LL77,4124,1950-1966,43.74,exclude_1967_1975
LL78,214,before 1900,39.72,exclude_1967_1975
LN1,16543,1900-1929,54.29,exclude_1967_1975
LN10,3358,1967-1975,33.89,exclude_1967_1975
LN11,16547,before 1900,45.19,exclude_1967_1975
LN12,8350,1930-1949,41.10,exclude_1967_1975
LN13,4498,before 1900,51.24,exclude_1967_1975
LN2,20470,1950-1966,45.67,exclude_1967_1975
LN3,4749,1950-1966,33.44,exclude_1967_1975
LN4,19572,1950-1966,36.77,exclude_1967_1975
LN5,19490,1900-1929,52.82,exclude_1967_1975
LN6,27635,1950-1966,30.28,exclude_1967_1975
LN7,3306,1950-1966,50.48,exclude_1967_1975
LN8,9668,before 1900,46.41,exclude_1967_1975
LN9,5787,before 1900,38.36,exclude_1967_1975
LS1,6397,2003-2006,10.05,exclude_1967_1975
LS10,21986,1950-1966,39.67,exclude_1967_1975
LS11,26240,1900-1929,65.97,exclude_1967_1975
LS12,27122,1900-1929,55.92,exclude_1967_1975
LS13,18778,1950-1966,59.95,exclude_1967_1975
LS14,21014,1950-1966,48.82,exclude_1967_1975
LS15,14628,1930-1949,59.56,exclude_1967_1975
LS16,18518,1950-1966,58.83,exclude_1967_1975
LS17,19808,1950-1966,59.27,exclude_1967_1975
LS18,9160,1950-1966,58.28,exclude_1967_1975
LS19,9026,1950-1966,57.74,exclude_1967_1975
LS2,9218,2003-2006,24.54,exclude_1967_1975
LS20,5453,1950-1966,57.56,exclude_1967_1975
LS21,8050,before 1900,61.98,exclude_1967_1975
LS22,7262,1967-1975,35.47,exclude_1967_1975
LS23,3906,before 1900,44.57,exclude_1967_1975
LS24,5315,1950-1966,43.42,exclude_1967_1975
LS25,18152,1950-1966,41.09,exclude_1967_1975
LS26,12222,1950-1966,52.36,exclude_1967_1975
LS27,18335,1950-1966,46.59,exclude_1967_1975
LS28,17979,1950-1966,59.54,exclude_1967_1975
LS29,15659,before 1900,47.44,exclude_1967_1975
LS3,2714,1900-1929,39.50,exclude_1967_1975
LS4,6115,1900-1929,81.67,exclude_1967_1975
LS5,4645,1900-1929,64.89,exclude_1967_1975
LS6,29776,1900-1929,73.31,exclude_1967_1975
LS7,20241,1900-1929,56.26,exclude_1967_1975
LS8,25553,1900-1929,80.32,exclude_1967_1975
LS9,30115,1900-1929,57.18,exclude_1967_1975
LU1,26484,1900-1929,56.36,exclude_1967_1975
LU2,26311,1950-1966,47.86,exclude_1967_1975
LU3,24215,1950-1966,53.83,exclude_1967_1975
LU4,20212,1950-1966,58.45,exclude_1967_1975
LU5,22144,1950-1966,35.45,exclude_1967_1975
LU6,15525,1950-1966,43.49,exclude_1967_1975
LU7,28743,1967-1975,31.36,exclude_1967_1975
M1,14595,2003-2006,16.16,exclude_1967_1975
M11,13924,1900-1929,49.45,exclude_1967_1975
M12,10483,1900-1929,42.55,exclude_1967_1975
M13,12173,1900-1929,51.38,exclude_1967_1975
M14,29927,1900-1929,67.84,exclude_1967_1975
M15,20551,2003-2006,6.48,exclude_1967_1975
M16,21165,1900-1929,51.50,exclude_1967_1975
M17,360,unknown,0.00,exclude_1967_1975
M18,16236,1900-1929,71.26,exclude_1967_1975
M19,17654,1900-1929,77.60,exclude_1967_1975
M2,367,before 1900,27.79,exclude_1967_1975
M20,29451,1900-1929,64.86,exclude_1967_1975
M21,14338,1900-1929,66.91,exclude_1967_1975
M22,27790,1930-1949,69.28,exclude_1967_1975
M23,22612,1950-1966,69.01,exclude_1967_1975
M24,24369,1950-1966,57.31,exclude_1967_1975
M25,14039,1930-1949,71.68,exclude_1967_1975
M26,18407,1900-1929,50.99,exclude_1967_1975
M27,21533,1930-1949,66.59,exclude_1967_1975
M28,21258,1950-1966,50.99,exclude_1967_1975
M29,9130,1900-1929,45.75,exclude_1967_1975
M3,24249,unknown,8.83,exclude_1967_1975
M30,24476,1900-1929,59.24,exclude_1967_1975
M31,5116,1950-1966,51.43,exclude_1967_1975
M32,13091,1930-1949,74.47,exclude_1967_1975
M33,26261,1950-1966,66.06,exclude_1967_1975
M34,21835,1950-1966,64.67,exclude_1967_1975
M35,9837,1950-1966,70.67,exclude_1967_1975
M38,10092,1950-1966,72.03,exclude_1967_1975
M4,20723,unknown,5.64,exclude_1967_1975
M40,22443,1900-1929,52.71,exclude_1967_1975
M41,15138,1930-1949,72.55,exclude_1967_1975
M43,11121,1930-1949,64.11,exclude_1967_1975
M44,10078,1950-1966,60.91,exclude_1967_1975
M45,10688,1930-1949,57.82,exclude_1967_1975
M46,10533,1900-1929,54.40,exclude_1967_1975
M5,19878,unknown,16.82,exclude_1967_1975
M50,9044,unknown,0.84,exclude_1967_1975
M6,23100,1900-1929,55.30,exclude_1967_1975
M7,18900,1900-1929,43.83,exclude_1967_1975
M8,16597,1900-1929,58.80,exclude_1967_1975
M9,22775,1900-1929,59.47,exclude_1967_1975
ME1,16408,1950-1966,51.22,exclude_1967_1975
ME10,23690,1950-1966,36.41,exclude_1967_1975
ME11,1772,1950-1966,62.81,exclude_1967_1975
ME12,18725,1950-1966,48.64,exclude_1967_1975
ME13,13747,before 1900,49.71,exclude_1967_1975
ME14,16588,1967-1975,39.98,exclude_1967_1975
ME15,26732,1950-1966,44.30,exclude_1967_1975
ME16,16422,1967-1975,37.47,exclude_1967_1975
ME17,12012,1950-1966,36.68,exclude_1967_1975
ME18,2871,before 1900,58.20,exclude_1967_1975
ME19,11282,unknown,22.33,exclude_1967_1975
ME2,17664,1950-1966,57.41,exclude_1967_1975
ME20,8886,1950-1966,34.60,exclude_1967_1975
ME3,12481,1950-1966,33.07,exclude_1967_1975
ME4,19755,1900-1929,50.33,exclude_1967_1975
ME5,21714,1950-1966,33.37,exclude_1967_1975
ME6,5699,unknown,27.83,exclude_1967_1975
ME7,25681,1900-1929,64.48,exclude_1967_1975
ME8,19957,1950-1966,48.28,exclude_1967_1975
ME9,9143,1950-1966,43.53,exclude_1967_1975
MK1,487,1967-1975,18.28,exclude_1967_1975
MK10,11873,unknown,0.40,exclude_1967_1975
MK11,5013,unknown,25.47,exclude_1967_1975
MK12,7645,1967-1975,28.65,exclude_1967_1975
MK13,8105,1983-1990,14.74,exclude_1967_1975
MK14,10093,1976-1982,1.61,exclude_1967_1975
MK15,2859,1983-1990,1.61,exclude_1967_1975
MK16,7732,1967-1975,31.32,exclude_1967_1975
MK17,12437,before 1900,33.70,exclude_1967_1975
MK18,16438,unknown,31.04,exclude_1967_1975
MK19,5093,1967-1975,32.30,exclude_1967_1975
MK2,8224,1967-1975,27.12,exclude_1967_1975
MK20,12,before 1900,83.33,exclude_1967_1975
MK3,11259,1950-1966,25.68,exclude_1967_1975
MK4,11264,1996-2002,0.17,exclude_1967_1975
MK40,22085,1900-1929,45.03,exclude_1967_1975
MK41,18213,1967-1975,36.35,exclude_1967_1975
MK42,28269,unknown,31.63,exclude_1967_1975
MK43,16961,unknown,28.79,exclude_1967_1975
MK44,7181,1967-1975,39.21,exclude_1967_1975
MK45,20290,unknown,28.91,exclude_1967_1975
MK46,4460,before 1900,32.87,exclude_1967_1975
MK5,6903,1983-1990,6.94,exclude_1967_1975
MK6,13742,1967-1975,2.18,exclude_1967_1975
MK7,6916,1991-1995,0.40,exclude_1967_1975
MK8,7824,1983-1990,1.58,exclude_1967_1975
MK9,6902,unknown,0.12,exclude_1967_1975
N1,55507,before 1900,53.18,exclude_1967_1975
N10,13496,1900-1929,77.63,exclude_1967_1975
N11,14504,1900-1929,55.85,exclude_1967_1975
N12,15215,1930-1949,57.28,exclude_1967_1975
N13,14296,1900-1929,73.73,exclude_1967_1975
N14,11914,1930-1949,64.54,exclude_1967_1975
N15,23089,1900-1929,63.86,exclude_1967_1975
N16,32253,1900-1929,70.41,exclude_1967_1975
N17,37805,1900-1929,55.84,exclude_1967_1975
N18,15085,1930-1949,65.67,exclude_1967_1975
N19,19999,1900-1929,59.74,exclude_1967_1975
N1C,2112,unknown,0.09,exclude_1967_1975
N2,12399,1900-1929,61.75,exclude_1967_1975
N20,9261,1930-1949,59.03,exclude_1967_1975
N21,8956,1930-1949,66.34,exclude_1967_1975
N22,22480,1900-1929,75.29,exclude_1967_1975
N3,13581,1900-1929,71.67,exclude_1967_1975
N4,32194,1900-1929,66.86,exclude_1967_1975
N5,14251,before 1900,67.08,exclude_1967_1975
N6,11224,1900-1929,73.12,exclude_1967_1975
N7,30393,1900-1929,48.33,exclude_1967_1975
N8,25099,1900-1929,69.38,exclude_1967_1975
N9,23673,1930-1949,64.42,exclude_1967_1975
NE1,8922,2003-2006,25.44,exclude_1967_1975
NE10,16092,1950-1966,68.30,exclude_1967_1975
NE11,6492,1950-1966,65.80,exclude_1967_1975
NE12,16949,1950-1966,43.27,exclude_1967_1975
NE13,10649,unknown,29.45,exclude_1967_1975
NE15,15444,1930-1949,53.95,exclude_1967_1975
NE16,9605,1950-1966,52.50,exclude_1967_1975
NE17,2915,1900-1929,79.21,exclude_1967_1975
NE18,433,before 1900,71.59,exclude_1967_1975
NE19,1347,before 1900,66.52,exclude_1967_1975
NE2,16341,1900-1929,72.33,exclude_1967_1975
NE20,5398,1950-1966,38.22,exclude_1967_1975
NE21,7587,1950-1966,51.46,exclude_1967_1975
NE22,8257,1930-1949,51.54,exclude_1967_1975
NE23,17849,1967-1975,26.77,exclude_1967_1975
NE24,20066,1900-1929,49.77,exclude_1967_1975
NE25,12646,1930-1949,58.43,exclude_1967_1975
NE26,8095,1900-1929,81.48,exclude_1967_1975
NE27,7295,unknown,36.24,exclude_1967_1975
NE28,23945,1950-1966,55.03,exclude_1967_1975
NE29,19453,1950-1966,56.44,exclude_1967_1975
NE3,23443,1950-1966,59.83,exclude_1967_1975
NE30,10774,1900-1929,69.05,exclude_1967_1975
NE31,11479,1950-1966,55.21,exclude_1967_1975
NE32,12708,1950-1966,68.37,exclude_1967_1975
NE33,16519,1900-1929,64.47,exclude_1967_1975
NE34,26750,1950-1966,73.19,exclude_1967_1975
NE35,2824,1900-1929,62.04,exclude_1967_1975
NE36,2712,1950-1966,63.05,exclude_1967_1975
NE37,12455,1967-1975,37.30,exclude_1967_1975
NE38,16429,1967-1975,15.02,exclude_1967_1975
NE39,3422,1950-1966,59.88,exclude_1967_1975
NE4,20504,1900-1929,68.63,exclude_1967_1975
NE40,6921,1950-1966,56.83,exclude_1967_1975
NE41,813,before 1900,55.72,exclude_1967_1975
NE42,4923,1950-1966,46.84,exclude_1967_1975
NE43,1790,before 1900,67.21,exclude_1967_1975
NE44,435,before 1900,64.14,exclude_1967_1975
NE45,2135,before 1900,49.32,exclude_1967_1975
NE46,7345,before 1900,54.96,exclude_1967_1975
NE47,4231,before 1900,65.75,exclude_1967_1975
NE48,2366,before 1900,69.86,exclude_1967_1975
NE49,1894,before 1900,69.69,exclude_1967_1975
NE5,23203,1950-1966,49.24,exclude_1967_1975
NE6,28510,1900-1929,71.96,exclude_1967_1975
NE61,16570,1950-1966,43.89,exclude_1967_1975
NE62,4158,1950-1966,62.34,exclude_1967_1975
NE63,15112,1900-1929,56.76,exclude_1967_1975
NE64,2828,1900-1929,78.32,exclude_1967_1975
NE65,11011,before 1900,42.82,exclude_1967_1975
NE66,10220,before 1900,52.88,exclude_1967_1975
NE67,1090,before 1900,43.03,exclude_1967_1975
NE68,1773,1967-1975,50.08,exclude_1967_1975
NE69,446,before 1900,53.81,exclude_1967_1975
NE7,5766,1930-1949,72.34,exclude_1967_1975
NE70,1339,before 1900,58.48,exclude_1967_1975
NE71,2095,before 1900,70.36,exclude_1967_1975
NE8,22269,1900-1929,57.99,exclude_1967_1975
NE9,16840,1950-1966,65.17,exclude_1967_1975
NG1,14492,2003-2006,23.52,exclude_1967_1975
NG10,21939,1900-1929,54.36,exclude_1967_1975
NG11,25620,1950-1966,63.65,exclude_1967_1975
NG12,16813,1950-1966,36.31,exclude_1967_1975
NG13,10905,1950-1966,29.02,exclude_1967_1975
NG14,8760,1950-1966,41.85,exclude_1967_1975
NG15,21931,1950-1966,44.65,exclude_1967_1975
NG16,27996,1900-1929,52.15,exclude_1967_1975
NG17,37390,1900-1929,57.92,exclude_1967_1975
NG18,23958,1900-1929,49.85,exclude_1967_1975
NG19,25357,1950-1966,51.66,exclude_1967_1975
NG2,37034,1900-1929,47.32,exclude_1967_1975
NG20,14302,1950-1966,59.40,exclude_1967_1975
NG21,12010,1950-1966,44.63,exclude_1967_1975
NG22,14298,1950-1966,47.11,exclude_1967_1975
NG23,8102,before 1900,43.48,exclude_1967_1975
NG24,25825,1950-1966,43.96,exclude_1967_1975
NG25,3859,1950-1966,45.81,exclude_1967_1975
NG3,29963,1900-1929,47.99,exclude_1967_1975
NG31,26405,1950-1966,42.24,exclude_1967_1975
NG32,6642,1950-1966,53.85,exclude_1967_1975
NG33,5561,1950-1966,51.11,exclude_1967_1975
NG34,21996,1950-1966,34.87,exclude_1967_1975
NG4,22364,1900-1929,52.45,exclude_1967_1975
NG5,48164,1950-1966,51.38,exclude_1967_1975
NG6,23871,1900-1929,42.31,exclude_1967_1975
NG7,36752,1900-1929,60.20,exclude_1967_1975
NG8,38931,1930-1949,68.17,exclude_1967_1975
NG9,35021,1930-1949,56.39,exclude_1967_1975
NN1,21617,1900-1929,54.70,exclude_1967_1975
NN10,19262,1950-1966,43.21,exclude_1967_1975
NN11,19288,1967-1975,24.76,exclude_1967_1975
NN12,12518,before 1900,30.49,exclude_1967_1975
NN13,9404,unknown,25.02,exclude_1967_1975
NN14,20806,before 1900,36.61,exclude_1967_1975
NN15,18156,unknown,30.09,exclude_1967_1975
NN16,16972,1900-1929,57.07,exclude_1967_1975
NN17,15596,1950-1966,41.74,exclude_1967_1975
NN18,17300,1950-1966,22.98,exclude_1967_1975
NN2,19872,1900-1929,54.27,exclude_1967_1975
NN29,4696,1967-1975,46.47,exclude_1967_1975
NN3,30607,1967-1975,24.33,exclude_1967_1975
NN4,22637,1983-1990,16.77,exclude_1967_1975
NN5,22608,1950-1966,32.44,exclude_1967_1975
NN6,16030,before 1900,38.87,exclude_1967_1975
NN7,12122,1967-1975,43.33,exclude_1967_1975
NN8,26647,1967-1975,34.58,exclude_1967_1975
NN9,13668,1950-1966,37.62,exclude_1967_1975
NP10,11135,1967-1975,20.72,exclude_1967_1975
NP11,15380,1900-1929,66.62,exclude_1967_1975
NP12,13820,1950-1966,53.52,exclude_1967_1975
NP13,10444,1900-1929,82.25,exclude_1967_1975
NP15,3390,before 1900,50.59,exclude_1967_1975
NP16,11402,1950-1966,44.55,exclude_1967_1975
NP18,6996,1950-1966,36.95,exclude_1967_1975
NP19,29954,1900-1929,57.56,exclude_1967_1975
NP20,28423,1900-1929,57.39,exclude_1967_1975
NP22,9229,1900-1929,59.22,exclude_1967_1975
NP23,13099,1900-1929,66.47,exclude_1967_1975
NP24,2481,1900-1929,86.78,exclude_1967_1975
NP25,7660,before 1900,37.06,exclude_1967_1975
NP26,10070,1950-1966,30.52,exclude_1967_1975
NP4,19623,1950-1966,63.94,exclude_1967_1975
NP44,22058,1950-1966,46.12,exclude_1967_1975
NP7,12720,before 1900,53.75,exclude_1967_1975
NP8,2209,before 1900,48.53,exclude_1967_1975
NR1,18866,before 1900,45.82,exclude_1967_1975
NR10,9342,1967-1975,33.69,exclude_1967_1975
NR11,9349,before 1900,41.19,exclude_1967_1975
NR12,11585,1967-1975,41.61,exclude_1967_1975
NR13,13888,1967-1975,28.94,exclude_1967_1975
NR14,12082,unknown,32.49,exclude_1967_1975
NR15,6494,1967-1975,34.31,exclude_1967_1975
NR16,5366,before 1900,41.32,exclude_1967_1975
NR17,8852,1967-1975,22.15,exclude_1967_1975
NR18,10171,unknown,25.17,exclude_1967_1975
NR19,9585,1967-1975,28.28,exclude_1967_1975
NR2,17261,before 1900,62.30,exclude_1967_1975
NR20,9547,before 1900,38.56,exclude_1967_1975
NR21,8972,1950-1966,47.88,exclude_1967_1975
NR22,618,before 1900,80.10,exclude_1967_1975
NR23,2015,before 1900,54.54,exclude_1967_1975
NR24,2539,before 1900,44.82,exclude_1967_1975
NR25,6345,before 1900,39.46,exclude_1967_1975
NR26,5019,1900-1929,41.68,exclude_1967_1975
NR27,7507,before 1900,51.59,exclude_1967_1975
NR28,8405,1967-1975,33.16,exclude_1967_1975
NR29,11785,1967-1975,34.90,exclude_1967_1975
NR3,21161,1900-1929,58.40,exclude_1967_1975
NR30,17828,before 1900,62.93,exclude_1967_1975
NR31,23168,1967-1975,40.77,exclude_1967_1975
NR32,22903,before 1900,52.99,exclude_1967_1975
NR33,19891,1967-1975,48.77,exclude_1967_1975
NR34,11005,before 1900,49.27,exclude_1967_1975
NR35,5462,before 1900,50.35,exclude_1967_1975
NR4,11196,1950-1966,45.71,exclude_1967_1975
NR5,15405,1950-1966,38.93,exclude_1967_1975
NR6,11157,1950-1966,35.91,exclude_1967_1975
NR7,14150,1950-1966,47.96,exclude_1967_1975
NR8,9653,unknown,13.28,exclude_1967_1975
NR9,9420,1967-1975,31.39,exclude_1967_1975
NW1,37074,before 1900,61.10,exclude_1967_1975
NW10,46045,1900-1929,64.87,exclude_1967_1975
NW11,16587,1900-1929,73.91,exclude_1967_1975
NW2,36983,1900-1929,72.19,exclude_1967_1975
NW3,31856,1900-1929,74.70,exclude_1967_1975
NW4,17013,1930-1949,62.53,exclude_1967_1975
NW5,14805,before 1900,70.59,exclude_1967_1975
NW6,40405,1900-1929,70.91,exclude_1967_1975
NW7,13571,1930-1949,49.84,exclude_1967_1975
NW8,21414,1930-1949,65.12,exclude_1967_1975
NW9,36181,unknown,34.56,exclude_1967_1975
OL1,12598,1900-1929,49.24,exclude_1967_1975
OL10,15262,1950-1966,55.36,exclude_1967_1975
OL11,22198,1900-1929,63.37,exclude_1967_1975
OL12,22625,1900-1929,53.22,exclude_1967_1975
OL13,8494,before 1900,67.71,exclude_1967_1975
OL14,7940,before 1900,69.85,exclude_1967_1975
OL15,6137,1900-1929,54.82,exclude_1967_1975
OL16,17083,1900-1929,56.90,exclude_1967_1975
OL2,18348,1950-1966,54.88,exclude_1967_1975
OL3,6199,before 1900,57.61,exclude_1967_1975
OL4,20479,1900-1929,70.90,exclude_1967_1975
OL5,5610,before 1900,64.83,exclude_1967_1975
OL6,15403,1900-1929,67.53,exclude_1967_1975
OL7,9013,1950-1966,68.07,exclude_1967_1975
OL8,22246,1900-1929,74.27,exclude_1967_1975
OL9,18728,1900-1929,61.05,exclude_1967_1975
OX1,9380,1900-1929,40.93,exclude_1967_1975
OX10,13436,1950-1966,41.34,exclude_1967_1975
OX11,21543,unknown,22.04,exclude_1967_1975
OX12,15094,unknown,28.70,exclude_1967_1975
OX13,7059,1950-1966,42.09,exclude_1967_1975
OX14,21634,1950-1966,31.55,exclude_1967_1975
OX15,9162,before 1900,41.19,exclude_1967_1975
OX16,25595,1967-1975,29.29,exclude_1967_1975
OX17,7855,before 1900,49.89,exclude_1967_1975
OX18,14430,1950-1966,32.02,exclude_1967_1975
OX2,21479,1900-1929,48.84,exclude_1967_1975
OX20,3111,before 1900,48.73,exclude_1967_1975
OX25,6520,unknown,31.52,exclude_1967_1975
OX26,17010,1983-1990,14.17,exclude_1967_1975
OX27,3647,before 1900,42.75,exclude_1967_1975
OX28,12925,1983-1990,20.74,exclude_1967_1975
OX29,11636,1950-1966,36.94,exclude_1967_1975
OX3,21725,1930-1949,50.13,exclude_1967_1975
OX33,2911,1950-1966,47.17,exclude_1967_1975
OX39,3222,unknown,27.59,exclude_1967_1975
OX4,32198,1950-1966,54.80,exclude_1967_1975
OX44,3295,before 1900,40.27,exclude_1967_1975
OX49,2116,before 1900,45.94,exclude_1967_1975
OX5,10433,1950-1966,38.59,exclude_1967_1975
OX7,12439,before 1900,46.06,exclude_1967_1975
OX9,6988,unknown,26.60,exclude_1967_1975
PA1,16,1996-2002,0.00,exclude_1967_1975
PE1,30696,1900-1929,56.39,exclude_1967_1975
PE10,13530,unknown,26.86,exclude_1967_1975
PE11,23330,1950-1966,39.41,exclude_1967_1975
PE12,21485,1950-1966,39.64,exclude_1967_1975
PE13,19301,1950-1966,43.22,exclude_1967_1975
PE14,10899,1950-1966,46.58,exclude_1967_1975
PE15,15341,1900-1929,35.70,exclude_1967_1975
PE16,5664,1991-1995,32.66,exclude_1967_1975
PE18,10,unknown,0.00,exclude_1967_1975
PE19,23060,1967-1975,21.74,exclude_1967_1975
PE2,28019,1976-1982,20.64,exclude_1967_1975
PE20,8532,1950-1966,44.10,exclude_1967_1975
PE21,24478,1950-1966,48.10,exclude_1967_1975
PE22,8644,1950-1966,54.06,exclude_1967_1975
PE23,4860,before 1900,52.41,exclude_1967_1975
PE24,8049,1967-1975,42.50,exclude_1967_1975
PE25,14509,1930-1949,51.69,exclude_1967_1975
PE26,6218,1950-1966,36.28,exclude_1967_1975
PE27,9727,1967-1975,20.01,exclude_1967_1975
PE28,23100,1967-1975,30.05,exclude_1967_1975
PE29,15803,1983-1990,24.79,exclude_1967_1975
PE3,14863,1967-1975,18.95,exclude_1967_1975
PE30,24995,1950-1966,44.76,exclude_1967_1975
PE31,12837,before 1900,43.80,exclude_1967_1975
PE32,8523,1950-1966,49.24,exclude_1967_1975
PE33,7571,1950-1966,48.25,exclude_1967_1975
PE34,7092,1950-1966,48.86,exclude_1967_1975
PE35,48,before 1900,93.75,exclude_1967_1975
PE36,5406,before 1900,43.75,exclude_1967_1975
PE37,6753,1967-1975,28.64,exclude_1967_1975
PE38,9303,1950-1966,32.18,exclude_1967_1975
PE4,14179,1983-1990,28.38,exclude_1967_1975
PE5,566,1950-1966,43.99,exclude_1967_1975
PE6,17336,1950-1966,30.87,exclude_1967_1975
PE7,26524,unknown,18.11,exclude_1967_1975
PE8,9089,1950-1966,43.31,exclude_1967_1975
PE9,17690,before 1900,45.70,exclude_1967_1975
PL1,20102,before 1900,51.41,exclude_1967_1975
PL10,2137,before 1900,55.26,exclude_1967_1975
PL11,5094,1967-1975,43.17,exclude_1967_1975
PL12,9798,1967-1975,37.09,exclude_1967_1975
PL13,6402,before 1900,50.27,exclude_1967_1975
PL14,12840,before 1900,37.06,exclude_1967_1975
PL15,10956,before 1900,38.56,exclude_1967_1975
PL16,1157,before 1900,48.31,exclude_1967_1975
PL17,5177,before 1900,35.97,exclude_1967_1975
PL18,2550,before 1900,46.43,exclude_1967_1975
PL19,8346,before 1900,41.29,exclude_1967_1975
PL2,17356,1900-1929,73.53,exclude_1967_1975
PL20,5461,before 1900,54.18,exclude_1967_1975
PL21,8543,1983-1990,26.81,exclude_1967_1975
PL22,2072,before 1900,50.97,exclude_1967_1975
PL23,2587,before 1900,58.41,exclude_1967_1975
PL24,5090,before 1900,45.11,exclude_1967_1975
PL25,14287,1967-1975,35.84,exclude_1967_1975
PL26,15165,before 1900,43.90,exclude_1967_1975
PL27,8049,before 1900,37.68,exclude_1967_1975
PL28,3600,unknown,36.36,exclude_1967_1975
PL29,944,before 1900,61.86,exclude_1967_1975
PL3,14638,1900-1929,68.86,exclude_1967_1975
PL30,5773,before 1900,46.11,exclude_1967_1975
PL31,8310,1967-1975,26.15,exclude_1967_1975
PL32,2694,before 1900,32.63,exclude_1967_1975
PL33,1090,before 1900,46.79,exclude_1967_1975
PL34,1210,before 1900,51.65,exclude_1967_1975
PL35,753,before 1900,49.14,exclude_1967_1975
PL4,21931,1900-1929,76.75,exclude_1967_1975
PL5,23385,1950-1966,60.84,exclude_1967_1975
PL6,19209,1967-1975,27.11,exclude_1967_1975
PL7,12595,1950-1966,35.65,exclude_1967_1975
PL8,3118,before 1900,44.32,exclude_1967_1975
PL9,14603,1950-1966,38.88,exclude_1967_1975
PO1,19826,1950-1966,49.92,exclude_1967_1975
PO10,8850,1950-1966,46.71,exclude_1967_1975
PO11,9222,1950-1966,40.23,exclude_1967_1975
PO12,23451,1930-1949,56.03,exclude_1967_1975
PO13,17274,1950-1966,43.61,exclude_1967_1975
PO14,13364,1950-1966,33.35,exclude_1967_1975
PO15,10506,1950-1966,24.28,exclude_1967_1975
PO16,13312,1950-1966,52.83,exclude_1967_1975
PO17,3348,1950-1966,41.19,exclude_1967_1975
PO18,7126,1950-1966,49.86,exclude_1967_1975
PO19,19356,1950-1966,34.87,exclude_1967_1975
PO2,21304,1900-1929,76.31,exclude_1967_1975
PO20,18317,1950-1966,32.01,exclude_1967_1975
PO21,23164,1967-1975,45.19,exclude_1967_1975
PO22,14788,1967-1975,39.39,exclude_1967_1975
PO3,8946,1900-1929,62.46,exclude_1967_1975
PO30,15358,1967-1975,38.73,exclude_1967_1975
PO31,8334,1900-1929,51.21,exclude_1967_1975
PO32,4650,unknown,36.24,exclude_1967_1975
PO33,17266,before 1900,48.74,exclude_1967_1975
PO34,1442,1967-1975,45.84,exclude_1967_1975
PO35,2083,1967-1975,41.62,exclude_1967_1975
PO36,8352,1967-1975,45.25,exclude_1967_1975
PO37,5514,1900-1929,49.95,exclude_1967_1975
PO38,7716,before 1900,52.20,exclude_1967_1975
PO39,1586,1900-1929,40.35,exclude_1967_1975
PO4,23716,1900-1929,74.87,exclude_1967_1975
PO40,3433,1967-1975,42.53,exclude_1967_1975
PO41,1407,before 1900,49.54,exclude_1967_1975
PO5,19926,1900-1929,70.52,exclude_1967_1975
PO52,20,unknown,0.00,exclude_1967_1975
PO6,18432,1930-1949,65.19,exclude_1967_1975
PO7,18758,1950-1966,33.43,exclude_1967_1975
PO8,13983,1967-1975,33.89,exclude_1967_1975
PO9,23541,1950-1966,58.83,exclude_1967_1975
PR1,39252,1900-1929,59.91,exclude_1967_1975
PR2,38339,1950-1966,53.36,exclude_1967_1975
PR25,14318,1950-1966,43.29,exclude_1967_1975
PR26,6296,1976-1982,24.94,exclude_1967_1975
PR3,19621,before 1900,38.09,exclude_1967_1975
PR4,28941,1950-1966,37.56,exclude_1967_1975
PR5,17667,1950-1966,41.55,exclude_1967_1975
PR6,15442,1900-1929,51.26,exclude_1967_1975
PR7,29689,unknown,35.71,exclude_1967_1975
PR8,28193,1900-1929,63.48,exclude_1967_1975
PR9,25119,1900-1929,64.88,exclude_1967_1975
RG1,34314,1900-1929,46.27,exclude_1967_1975
RG10,7832,1950-1966,41.57,exclude_1967_1975
RG12,29281,1967-1975,15.73,exclude_1967_1975
RG14,23378,1950-1966,32.27,exclude_1967_1975
RG17,8262,1950-1966,45.03,exclude_1967_1975
RG18,7519,1950-1966,38.64,exclude_1967_1975
RG19,7367,1983-1990,17.31,exclude_1967_1975
RG2,21974,1950-1966,38.30,exclude_1967_1975
RG20,9085,1950-1966,53.41,exclude_1967_1975
RG21,16434,1967-1975,27.29,exclude_1967_1975
