postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
CF40,9569,before 1900,83.68,exclude_1967_1975
CF41,5135,before 1900,83.41,exclude_1967_1975
CF42,7936,1900-1929,90.49,exclude_1967_1975
CF43,6231,before 1900,90.31,exclude_1967_1975
CF44,18848,1900-1929,66.54,exclude_1967_1975
CF45,9588,1900-1929,83.75,exclude_1967_1975
CF46,6239,1900-1929,62.25,exclude_1967_1975
CF47,13359,1950-1966,62.28,exclude_1967_1975
CF48,14132,1900-1929,53.63,exclude_1967_1975
CF5,33931,1950-1966,59.01,exclude_1967_1975
CF61,3873,1967-1975,32.33,exclude_1967_1975
CF62,20567,1950-1966,46.21,exclude_1967_1975
CF63,12841,1900-1929,54.30,exclude_1967_1975
CF64,16837,1950-1966,47.13,exclude_1967_1975
CF71,4053,1967-1975,37.95,exclude_1967_1975
CF72,11820,1967-1975,28.65,exclude_1967_1975
CF81,7467,1900-1929,70.19,exclude_1967_1975
CF82,8611,1950-1966,49.10,exclude_1967_1975
CF83,22509,1967-1975,44.79,exclude_1967_1975
CH1,18213,1950-1966,46.93,exclude_1967_1975
CH2,16262,1950-1966,52.79,exclude_1967_1975
CH3,16056,1950-1966,44.97,exclude_1967_1975
CH4,15593,1950-1966,43.22,exclude_1967_1975
CH41,15308,1900-1929,60.13,exclude_1967_1975
CH42,18551,1900-1929,72.10,exclude_1967_1975
CH43,18000,1967-1975,51.03,exclude_1967_1975
CH44,16679,1900-1929,79.54,exclude_1967_1975
CH45,13404,1900-1929,74.59,exclude_1967_1975
CH46,13607,1950-1966,64.91,exclude_1967_1975
CH47,4682,1900-1929,73.75,exclude_1967_1975
CH48,6583,1900-1929,67.49,exclude_1967_1975
CH49,15025,1950-1966,60.20,exclude_1967_1975
CH5,18016,1950-1966,48.99,exclude_1967_1975
CH6,7917,1967-1975,48.28,exclude_1967_1975
CH60,5189,1950-1966,59.55,exclude_1967_1975
CH61,6614,1950-1966,66.36,exclude_1967_1975
CH62,13514,1930-1949,64.16,exclude_1967_1975
CH63,10718,1930-1949,63.09,exclude_1967_1975
CH64,8344,1950-1966,51.91,exclude_1967_1975
CH65,16581,1950-1966,50.23,exclude_1967_1975
CH66,14762,1950-1966,44.49,exclude_1967_1975
CH7,20692,1967-1975,41.99,exclude_1967_1975
CH8,10587,1950-1966,60.02,exclude_1967_1975
CM0,8315,1950-1966,37.21,exclude_1967_1975
CM1,33146,1950-1966,37.92,exclude_1967_1975
CM11,6673,1950-1966,40.79,exclude_1967_1975
CM12,8376,1950-1966,30.80,exclude_1967_1975
CM13,11237,1950-1966,61.60,exclude_1967_1975
CM14,12074,1950-1966,40.92,exclude_1967_1975
CM15,9479,1950-1966,55.05,exclude_1967_1975
CM16,10209,1950-1966,49.45,exclude_1967_1975
CM17,13349,1950-1966,32.48,exclude_1967_1975
CM18,14085,1950-1966,60.16,exclude_1967_1975
CM19,10567,1950-1966,38.93,exclude_1967_1975
CM2,26561,1950-1966,39.34,exclude_1967_1975
CM20,16612,1950-1966,57.76,exclude_1967_1975
CM21,5112,1967-1975,31.49,exclude_1967_1975
CM22,6504,1950-1966,36.53,exclude_1967_1975
CM23,20827,1983-1990,27.50,exclude_1967_1975
CM24,3936,unknown,30.03,exclude_1967_1975
CM3,22251,1983-1990,28.03,exclude_1967_1975
CM4,4527,1950-1966,52.95,exclude_1967_1975
CM5,4606,1950-1966,54.45,exclude_1967_1975
CM6,13125,unknown,26.96,exclude_1967_1975
CM7,23521,1950-1966,35.88,exclude_1967_1975
CM77,5965,1996-2002,22.75,exclude_1967_1975
CM8,15534,1967-1975,24.10,exclude_1967_1975
CM9,15478,1950-1966,38.91,exclude_1967_1975
CO01,12,unknown,0.00,exclude_1967_1975
CO1,12148,before 1900,41.36,exclude_1967_1975
CO10,23645,1967-1975,36.04,exclude_1967_1975
CO11,6577,1983-1990,35.41,exclude_1967_1975
CO12,11114,1900-1929,51.66,exclude_1967_1975
CO13,7229,1950-1966,45.69,exclude_1967_1975
CO14,4421,1967-1975,41.42,exclude_1967_1975
CO15,25680,1930-1949,56.47,exclude_1967_1975
CO16,12834,1967-1975,29.61,exclude_1967_1975
CO2,21972,1950-1966,37.58,exclude_1967_1975
CO3,14758,1950-1966,41.38,exclude_1967_1975
CO4,25247,1967-1975,23.31,exclude_1967_1975
CO5,13001,1950-1966,36.02,exclude_1967_1975
CO6,12021,1967-1975,42.15,exclude_1967_1975
CO7,15672,1967-1975,41.67,exclude_1967_1975
CO8,934,before 1900,45.61,exclude_1967_1975
CO9,11884,1950-1966,41.89,exclude_1967_1975
CR0,83431,1900-1929,50.97,exclude_1967_1975
CR2,21987,1930-1949,60.62,exclude_1967_1975
CR3,13779,1930-1949,46.45,exclude_1967_1975
CR4,27289,1930-1949,53.96,exclude_1967_1975
CR5,11746,1930-1949,59.45,exclude_1967_1975
CR6,4399,1950-1966,54.17,exclude_1967_1975
CR7,18533,1900-1929,76.48,exclude_1967_1975
CR8,15390,1930-1949,49.14,exclude_1967_1975
CR9,289,unknown,0.35,exclude_1967_1975
CT1,18714,1950-1966,42.00,exclude_1967_1975
CT10,13658,1950-1966,56.31,exclude_1967_1975
CT11,19164,before 1900,62.98,exclude_1967_1975
CT12,11274,1950-1966,53.71,exclude_1967_1975
CT13,4400,1950-1966,56.11,exclude_1967_1975
CT14,18577,before 1900,54.12,exclude_1967_1975
CT15,5751,1967-1975,50.72,exclude_1967_1975
CT16,11845,1950-1966,51.49,exclude_1967_1975
CT17,12003,before 1900,67.87,exclude_1967_1975
CT18,6709,1996-2002,28.48,exclude_1967_1975
CT19,14684,1900-1929,67.77,exclude_1967_1975
CT2,13542,1967-1975,41.61,exclude_1967_1975
CT20,17314,1900-1929,60.44,exclude_1967_1975
CT21,9665,1950-1966,50.28,exclude_1967_1975
CT3,9127,1950-1966,46.67,exclude_1967_1975
CT4,7007,before 1900,52.98,exclude_1967_1975
CT5,16738,1950-1966,49.95,exclude_1967_1975
CT6,19747,1950-1966,50.70,exclude_1967_1975
CT7,6375,1950-1966,49.41,exclude_1967_1975
CT8,4856,1900-1929,63.43,exclude_1967_1975
CT9,29580,1900-1929,63.58,exclude_1967_1975
CV1,23708,1900-1929,58.23,exclude_1967_1975
CV10,24409,1950-1966,43.83,exclude_1967_1975
CV11,20017,1900-1929,43.23,exclude_1967_1975
CV12,14134,1950-1966,51.02,exclude_1967_1975
CV13,4900,1950-1966,37.59,exclude_1967_1975
CV2,37506,1950-1966,63.98,exclude_1967_1975
CV21,20918,1900-1929,46.84,exclude_1967_1975
CV22,16043,1950-1966,38.20,exclude_1967_1975
CV23,12284,unknown,29.58,exclude_1967_1975
CV3,34198,1950-1966,59.88,exclude_1967_1975
CV31,18073,1950-1966,46.00,exclude_1967_1975
CV32,18114,1950-1966,56.67,exclude_1967_1975
CV33,4935,1950-1966,33.45,exclude_1967_1975
CV34,19350,unknown,25.71,exclude_1967_1975
CV35,13831,1950-1966,40.02,exclude_1967_1975
CV36,6202,1950-1966,38.46,exclude_1967_1975
CV37,28604,1950-1966,36.29,exclude_1967_1975
CV4,18944,1950-1966,58.70,exclude_1967_1975
CV47,10691,1950-1966,32.55,exclude_1967_1975
CV5,21205,1950-1966,70.67,exclude_1967_1975
CV6,44944,1930-1949,68.83,exclude_1967_1975
CV7,13095,1950-1966,46.55,exclude_1967_1975
CV8,13982,1950-1966,47.18,exclude_1967_1975
CV9,11206,1950-1966,52.11,exclude_1967_1975
CW1,22844,1900-1929,46.41,exclude_1967_1975
CW10,6990,1900-1929,36.75,exclude_1967_1975
CW11,12692,unknown,35.51,exclude_1967_1975
CW12,16595,1950-1966,37.15,exclude_1967_1975
CW2,20040,1900-1929,51.09,exclude_1967_1975
CW3,4222,before 1900,43.96,exclude_1967_1975
CW4,4664,1967-1975,28.19,exclude_1967_1975
CW5,16303,before 1900,36.60,exclude_1967_1975
CW6,5819,before 1900,44.68,exclude_1967_1975
CW7,16060,1950-1966,34.63,exclude_1967_1975
CW8,17649,1950-1966,49.06,exclude_1967_1975
CW9,15580,1950-1966,49.44,exclude_1967_1975
DA1,27940,1930-1949,51.50,exclude_1967_1975
DA10,6573,unknown,28.60,exclude_1967_1975
DA11,19352,1900-1929,51.03,exclude_1967_1975
DA12,21917,1950-1966,59.36,exclude_1967_1975
DA13,4749,1950-1966,47.13,exclude_1967_1975
DA14,11900,1950-1966,49.12,exclude_1967_1975
DA15,9814,1930-1949,72.62,exclude_1967_1975
DA16,12271,1930-1949,79.47,exclude_1967_1975
DA17,10633,1950-1966,51.37,exclude_1967_1975
DA18,2629,1967-1975,11.45,exclude_1967_1975
DA2,9126,1950-1966,50.58,exclude_1967_1975
DA3,6084,1967-1975,29.11,exclude_1967_1975
DA4,3472,1950-1966,55.27,exclude_1967_1975
DA5,7132,1930-1949,72.27,exclude_1967_1975
DA6,5038,1930-1949,53.12,exclude_1967_1975
DA7,11779,1930-1949,84.68,exclude_1967_1975
